Feature 'workclass' - Category: 'Private': count 4489, precision 0.6893732970027248, recall 0.2597535934291581, fbeta: 0.3773303504847129
Feature 'workclass' - Category: '?': count 360, precision 0.55, recall 0.3142857142857143, fbeta: 0.4
Feature 'workclass' - Category: 'Local-gov': count 438, precision 0.5833333333333334, recall 0.2153846153846154, fbeta: 0.31460674157303375
Feature 'workclass' - Category: 'State-gov': count 289, precision 0.88, recall 0.2716049382716049, fbeta: 0.4150943396226415
Feature 'workclass' - Category: 'Self-emp-inc': count 201, precision 0.9111111111111111, recall 0.3474576271186441, fbeta: 0.5030674846625767
Feature 'workclass' - Category: 'Self-emp-not-inc': count 529, precision 0.7894736842105263, recall 0.3146853146853147, fbeta: 0.44999999999999996
Feature 'workclass' - Category: 'Federal-gov': count 204, precision 0.5294117647058824, recall 0.12857142857142856, fbeta: 0.20689655172413793
Feature 'workclass' - Category: 'Without-pay': count 1, precision 1.0, recall 1.0, fbeta: 1.0
Feature 'workclass' - Category: 'Never-worked': count 2, precision 1.0, recall 1.0, fbeta: 1.0
Feature 'education' - Category: 'Bachelors': count 1074, precision 0.8050314465408805, recall 0.28893905191873587, fbeta: 0.42524916943521596
Feature 'education' - Category: 'HS-grad': count 2081, precision 0.609375, recall 0.22941176470588234, fbeta: 0.33333333333333337
Feature 'education' - Category: 'Assoc-voc': count 283, precision 0.5652173913043478, recall 0.19117647058823528, fbeta: 0.2857142857142857
Feature 'education' - Category: '11th': count 244, precision 0.5714285714285714, recall 0.4, fbeta: 0.47058823529411764
Feature 'education' - Category: '10th': count 196, precision 0.2857142857142857, recall 0.15384615384615385, fbeta: 0.2
Feature 'education' - Category: 'Assoc-acdm': count 213, precision 0.8, recall 0.32, fbeta: 0.45714285714285713
Feature 'education' - Category: 'Some-college': count 1466, precision 0.4946236559139785, recall 0.17164179104477612, fbeta: 0.2548476454293629
Feature 'education' - Category: '7th-8th': count 125, precision 0.2, recall 0.1111111111111111, fbeta: 0.14285714285714285
Feature 'education' - Category: 'Masters': count 343, precision 0.8461538461538461, recall 0.28350515463917525, fbeta: 0.4247104247104247
Feature 'education' - Category: '5th-6th': count 70, precision 0.0, recall 0.0, fbeta: 1.0
Feature 'education' - Category: 'Prof-school': count 99, precision 0.9743589743589743, recall 0.4810126582278481, fbeta: 0.6440677966101694
Feature 'education' - Category: '9th': count 101, precision 1.0, recall 0.0, fbeta: 0.0
Feature 'education' - Category: 'Doctorate': count 87, precision 0.9230769230769231, recall 0.4, fbeta: 0.5581395348837209
Feature 'education' - Category: '12th': count 90, precision 1.0, recall 0.4, fbeta: 0.5714285714285715
Feature 'education' - Category: '1st-4th': count 30, precision 1.0, recall 0.0, fbeta: 0.0
Feature 'education' - Category: 'Preschool': count 11, precision 1.0, recall 1.0, fbeta: 1.0
Feature 'marital-status' - Category: 'Divorced': count 877, precision 0.40384615384615385, recall 0.28378378378378377, fbeta: 0.3333333333333333
Feature 'marital-status' - Category: 'Married-civ-spouse': count 3008, precision 0.821256038647343, recall 0.25297619047619047, fbeta: 0.38680318543799774
Feature 'marital-status' - Category: 'Never-married': count 2117, precision 0.38271604938271603, recall 0.34444444444444444, fbeta: 0.3625730994152046
Feature 'marital-status' - Category: 'Widowed': count 229, precision 0.5263157894736842, recall 0.47619047619047616, fbeta: 0.5
Feature 'marital-status' - Category: 'Separated': count 211, precision 0.5, recall 0.2857142857142857, fbeta: 0.36363636363636365
Feature 'marital-status' - Category: 'Married-spouse-absent': count 67, precision 0.5, recall 0.4, fbeta: 0.4444444444444445
Feature 'marital-status' - Category: 'Married-AF-spouse': count 4, precision 1.0, recall 0.3333333333333333, fbeta: 0.5
